id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
751882,Rental unit in Geneva · ★4.29 · 2 bedrooms · 2 beds · 1.5 baths,777025,Maysoon,,Commune de Genève,46.20234,6.1621,Entire home/apt,185,3,73,2023-01-02,0.70,2,364,1,
751941,Rental unit in Geneva · ★4.49 · 1 bedroom · 1.5 baths,777025,Maysoon,,Commune de Genève,46.20282,6.16197,Private room,80,1,72,2023-07-25,0.69,2,365,8,
765191,Rental unit in Geneva · ★4.58 · 2 bedrooms · 2 beds · 1 bath,4034142,Lise & Olivier,,Commune de Genève,46.20513,6.16157,Entire home/apt,,2,26,2019-05-05,0.23,1,0,0,
766186,Loft in Geneva · ★4.90 · 1 bedroom · 2 beds · 1 bath,3987132,Dave,,Commune de Genève,46.20146,6.13148,Entire home/apt,155,2,206,2023-12-10,1.56,1,0,28,
775934,Rental unit in Geneva · ★4.58 · 1 bedroom · 1 bed · 1.5 shared baths,3778243,Lucia,,Commune de Genève,46.2116,6.12765,Private room,56,30,25,2020-08-02,0.19,4,0,0,
800449,Loft in Geneva · ★4.88 · 4 bedrooms · 5 beds · 2 baths,4214439,Lucas,,Commune de Genève,46.20442,6.12666,Entire home/apt,297,3,24,2022-08-12,0.18,1,6,0,
899661,Rental unit in Genthod · 2 bedrooms · 1 bed · 1 bath,4896475,Ruth,,Genthod,46.25937,6.14957,Entire home/apt,220,12,1,2023-04-30,0.12,1,210,1,
914760,Rental unit in Geneva · ★4.92 · 1 bedroom · 1 bed · 1 bath,4910312,Claris,,Commune de Genève,46.19201,6.15662,Entire home/apt,150,7,13,2023-05-27,0.10,4,327,2,
921964,Rental unit in Satigny · 1 bedroom · 2 beds · 1 shared bath,2633427,Odrey,,Satigny,46.21597,6.03816,Private room,75,1,2,2015-05-23,0.02,1,90,0,
935428,Condo in Geneva · ★5.0 · 1 bedroom · 2 beds · 1 bath,4910312,Claris,,Commune de Genève,46.19202,6.15335,Entire home/apt,140,7,5,2022-06-30,0.07,4,209,0,
952342,Rental unit in Meinier · ★4.92 · 2 bedrooms · 2 beds · 1 bath,952440,Dunja,,Meinier,46.23633,6.21691,Entire home/apt,130,3,12,2019-07-18,0.09,1,147,0,
952395,Loft in Carouge · ★4.88 · 1 bedroom · 2 beds · 1 bath,4249323,SimIldik,,Commune de Genève,46.18905,6.13824,Entire home/apt,186,3,43,2023-05-01,0.34,2,212,1,
963950,Home in Vernier · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,3927398,Monika,,Vernier,46.2014,6.1042,Private room,80,5,41,2023-12-02,0.31,1,354,5,
1050136,Rental unit in Geneva · ★4.39 · 1 bedroom · 1 bed · 1 bath,5782036,Florence,,Commune de Genève,46.21327,6.14364,Entire home/apt,,5,42,2023-03-10,0.32,1,0,2,
